source_experiment_id	audit_experiment_id	scope	material	series_id	solver	volume_ratio	density_format	density_path	density_sha256	expected_electrons	integrated_electrons	relative_error	certified_relative_error	accepted	delta_energy_mev_per_atom	delta_pressure_gpa	scientific_equivalence_accepted	evidence_revision	kmp_contract_accepted	kmp_rank_lifecycle_count	kmp_successful_syscall_count	point_accepted
S1-20260805-050	S1-20260805-128	primary_baseline	mg	ofdft	ofdft	0.9	abacus_cube_text_bohr_minus_3	runs/S1-20260805-128/OUT.g1_ne_128_from_050/chg.cube	43673b8ab361e25794b9b9b04422f5fef8a30e20704279a3883bfaa70f28fb4e	4.0	3.999999999999999	2.7129875848086705e-16	2.745852962158033e-16	True	0.0	0.0	True	r1_reused_accepted_ofdft	True	4	12	True
S1-20260805-051	S1-20260805-129	primary_baseline	mg	ofdft	ofdft	0.9400000000000002	abacus_cube_text_bohr_minus_3	runs/S1-20260805-129/OUT.g1_ne_129_from_051/chg.cube	dd34b491d1d6db56fe53555d1f13322440d5f079cc8c3815879fc3e1428e22e5	4.0	3.9999999999999996	1.5139042192975388e-16	1.548230280084651e-16	True	0.0	0.0	True	r1_reused_accepted_ofdft	True	4	12	True
S1-20260805-052	S1-20260805-130	primary_baseline	mg	ofdft	ofdft	0.9700000000000002	abacus_cube_text_bohr_minus_3	runs/S1-20260805-130/OUT.g1_ne_130_from_052/chg.cube	fbd249a68496f0627210015bed1d765178ef391cbf8d1700f7e7e625ea354da1	4.0	4.0	5.875013698926352e-18	9.415190147779405e-18	True	0.0	0.0	True	r2_executed_ofdft	True	4	12	True
S1-20260805-053	S1-20260805-131	primary_baseline	mg	ofdft	ofdft	1.0	abacus_cube_text_bohr_minus_3	runs/S1-20260805-131/OUT.g1_ne_131_from_053/chg.cube	7f327f4a342885c54526c8e2d3b5b83e28933ebd304c9565ff9fceac8b440817	4.0	3.999999999999999	2.1023715207848126e-16	2.1387558668318385e-16	True	0.0	0.0	True	r2_executed_ofdft	True	4	12	True
S1-20260805-054	S1-20260805-132	primary_baseline	mg	ofdft	ofdft	1.03	abacus_cube_text_bohr_minus_3	runs/S1-20260805-132/OUT.g1_ne_132_from_054/chg.cube	cfe10a8cde1775857eb42902275376be7c84181fa7cb4789da1cc36cdcfd6269	4.0	3.9999999999999996	1.3616412896425363e-16	1.39870349409543e-16	True	0.0	0.0	True	r2_executed_ofdft	True	4	12	True
S1-20260805-055	S1-20260805-133	primary_baseline	mg	ofdft	ofdft	1.06	abacus_cube_text_bohr_minus_3	runs/S1-20260805-133/OUT.g1_ne_133_from_055/chg.cube	2d988f7bcf24da14d9bb05afa0fa62c676527146a4aee2d23a091118f94df2e2	4.0	4.000000000000001	1.8287251755106764e-16	1.866231888438195e-16	True	0.0	0.0	True	r2_executed_ofdft	True	4	12	True
S1-20260805-056	S1-20260805-134	primary_baseline	mg	ofdft	ofdft	1.1000000000000003	abacus_cube_text_bohr_minus_3	runs/S1-20260805-134/OUT.g1_ne_134_from_056/chg.cube	0b9d7d56da2d98e2dd421fb72423c2cf361cce6397942aa1221007da6dd40790	4.0	3.9999999999999996	6.318105032495862e-17	6.695120375024306e-17	True	0.0	0.0	True	r2_executed_ofdft	True	4	12	True
S1-20260805-057		primary_baseline	mg	ksdft_standard	ksdft	0.9	abacus_reciprocal_restart_little_endian	runs/S1-20260805-057/OUT.s1_mg_v090_ksdft_standard/s1_mg_v090_ksdft_standard-CHARGE-DENSITY.restart	098802cc17887c748ef076c47a20218745dd2a8023730097b3d8186cbde38404	4.0	4.000000000006983	1.7456698746306696e-12	1.7456698746306696e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-058		primary_baseline	mg	ksdft_standard	ksdft	0.9400000000000002	abacus_reciprocal_restart_little_endian	runs/S1-20260805-058/OUT.s1_mg_v094_ksdft_standard/s1_mg_v094_ksdft_standard-CHARGE-DENSITY.restart	e07921b0f97c069baf344a9c3549ef149611cfde0bbf026e52768d9fc5b00f5a	4.0	4.0000000000271525	6.788084748811045e-12	6.788084748811045e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-059		primary_baseline	mg	ksdft_standard	ksdft	0.9700000000000002	abacus_reciprocal_restart_little_endian	runs/S1-20260805-059/OUT.s1_mg_v097_ksdft_standard/s1_mg_v097_ksdft_standard-CHARGE-DENSITY.restart	27c6ef6859b38305cc56f3f24837e81e70ab8aaf27ef77efd150fd925bbc4a45	4.0	4.0000000000005	1.249496889760396e-13	1.249496889760396e-13	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
