dimension	local_index	grid	displacement_angstrom	maximum_angle_degrees	principal_angles_degrees	bottom_eigenvalues
13	2	128	0.0	0.10777086791580665	[0.10777086791580665,0.0022944894726677654]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
13	3	128	0.025	0.04839528487250964	[0.04839528487250964,0.0064394792177251]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
13	4	128	0.05	0.06631859874809398	[0.06631859874809398,0.031001517064405733]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
13	5	144	-0.05	0.14557884756654857	[0.14557884756654857,0.04471323304158765]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
13	6	144	-0.025	0.05529847914675164	[0.05529847914675164,0.035491244321082055]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
13	7	144	0.0	0.11856393453087115	[0.11856393453087115,0.0022862100669863244]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
13	8	144	0.025	0.11039877546197896	[0.11039877546197896,0.010724005071142302]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
13	9	144	0.05	0.1915601609974052	[0.1915601609974052,0.024939250658859078]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
14	0	128	-0.05	0.06633888158027493	[0.06633888158027493,0.03414682543231415]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
14	1	128	-0.025	0.01656787379099167	[0.01656787379099167,0.0029403534267439736]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
14	2	128	0.0	0.07352159433021997	[0.07352159433021997,0.0010418833868094458]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
14	3	128	0.025	0.032085030225665785	[0.032085030225665785,0.0019933877766680204]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
14	4	128	0.05	0.056129540950314	[0.056129540950314,0.022024014254100346]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
14	5	144	-0.05	0.09231127775235765	[0.09231127775235765,0.015231480731420721]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
14	6	144	-0.025	0.047964923869147025	[0.047964923869147025,0.0058546839783002284]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
14	7	144	0.0	0.08100620606180947	[0.08100620606180947,0.0010825415532542911]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
14	8	144	0.025	0.07973540650118624	[0.07973540650118624,0.003367001183801085]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
14	9	144	0.05	0.09661544438015	[0.09661544438015,0.020250027112476403]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
15	0	128	-0.05	0.03422024584947158	[0.03422024584947158,0.00611681611203002]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
15	1	128	-0.025	0.003960107920977625	[0.003960107920977625,8.032281409966102e-05]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
15	2	128	0.0	0.0017201153325503069	[0.0017201153325503069,0.0006955903013484329]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
15	3	128	0.025	0.0037734468469645672	[0.0037734468469645672,9.871705865981069e-05]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
15	4	128	0.05	0.053122023869007225	[0.053122023869007225,0.010965128332746226]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
15	5	144	-0.05	0.0479119258419822	[0.0479119258419822,0.013311695335712036]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
15	6	144	-0.025	0.009821193879211033	[0.009821193879211033,0.00023858505574253006]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
15	7	144	0.0	0.0019137850005353132	[0.0019137850005353132,0.0007273309668738817]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
15	8	144	0.025	0.006362138244641706	[0.006362138244641706,0.00024546994565310503]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
